filename,width,height,class,xmin,ymin,xmax,ymax
inv_234.jpg,350,500,invoice_no,31,24,254,52
inv_234.jpg,350,500,invoice_no,36,69,199,98
inv_234.jpg,350,500,invoice_no,32,123,171,150
inv_234.jpg,350,500,invoice_no,34,168,149,197
inv_234.jpg,350,500,invoice_no,35,216,181,241
inv_234.jpg,350,500,invoice_no,34,250,159,275
inv_234.jpg,350,500,invoice_no,32,295,204,323
inv_234.jpg,350,500,invoice_date,29,341,217,367
inv_234.jpg,350,500,invoice_date,24,374,99,403
inv_234.jpg,350,500,invoice_date,27,416,101,445
inv_234.jpg,350,500,invoice_date,19,454,171,486
inv_194.jpg,350,500,invoice_no,68,15,128,34
inv_194.jpg,350,500,invoice_no,71,66,122,86
inv_194.jpg,350,500,invoice_no,69,115,117,134
inv_194.jpg,350,500,invoice_no,72,165,106,183
inv_194.jpg,350,500,invoice_no,70,209,131,225
inv_194.jpg,350,500,invoice_no,70,248,125,264
inv_194.jpg,350,500,invoice_no,64,289,142,305
inv_194.jpg,350,500,invoice_date,66,335,121,352
inv_194.jpg,350,500,invoice_date,54,369,82,387
inv_194.jpg,350,500,invoice_date,64,408,110,431
inv_194.jpg,350,500,invoice_date,56,443,117,468
inv_248.jpg,350,500,invoice_no,80,18,196,43
inv_248.jpg,350,500,invoice_no,92,68,172,89
inv_248.jpg,350,500,invoice_no,89,123,156,143
inv_248.jpg,350,500,invoice_no,90,165,153,191
inv_248.jpg,350,500,invoice_no,94,211,182,234
inv_248.jpg,350,500,invoice_no,94,248,174,268
inv_248.jpg,350,500,invoice_no,87,291,186,315
inv_248.jpg,350,500,invoice_date,86,338,177,359
inv_248.jpg,350,500,invoice_date,73,373,120,394
inv_248.jpg,350,500,invoice_date,82,414,134,433
inv_248.jpg,350,500,invoice_date,79,448,154,473
inv_207.jpg,350,500,invoice_no,94,19,258,47
inv_207.jpg,350,500,invoice_no,96,68,223,95
inv_207.jpg,350,500,invoice_no,94,122,200,145
inv_207.jpg,350,500,invoice_no,89,165,194,193
inv_207.jpg,350,500,invoice_no,94,208,222,235
inv_207.jpg,350,500,invoice_no,94,246,206,273
inv_207.jpg,350,500,invoice_no,93,291,251,316
inv_207.jpg,350,500,invoice_date,90,338,224,360
inv_207.jpg,350,500,invoice_date,81,370,143,399
inv_207.jpg,350,500,invoice_date,87,415,170,438
inv_207.jpg,350,500,invoice_date,82,453,194,479
inv_216.jpg,350,500,invoice_no,109,20,314,53
inv_216.jpg,350,500,invoice_no,112,68,264,98
inv_216.jpg,350,500,invoice_no,111,118,256,154
inv_216.jpg,350,500,invoice_no,106,162,219,197
inv_216.jpg,350,500,invoice_no,110,213,246,240
inv_216.jpg,350,500,invoice_no,111,247,234,278
inv_216.jpg,350,500,invoice_no,106,293,263,325
inv_216.jpg,350,500,invoice_date,101,339,287,365
inv_216.jpg,350,500,invoice_date,99,374,184,403
inv_216.jpg,350,500,invoice_date,100,413,188,443
inv_216.jpg,350,500,invoice_date,99,455,247,483
inv_92.jpg,350,500,invoice_no,76,25,208,58
inv_92.jpg,350,500,invoice_no,77,74,179,105
inv_92.jpg,350,500,invoice_no,77,125,175,158
inv_92.jpg,350,500,invoice_no,77,171,161,200
inv_92.jpg,350,500,invoice_no,78,215,172,245
inv_92.jpg,350,500,invoice_no,80,251,157,281
inv_92.jpg,350,500,invoice_no,76,295,191,328
inv_92.jpg,350,500,invoice_date,71,340,186,370
inv_92.jpg,350,500,invoice_date,67,374,122,403
inv_92.jpg,350,500,invoice_date,69,417,134,447
inv_92.jpg,350,500,invoice_date,63,456,170,485
inv_69.jpg,350,500,invoice_no,47,22,124,43
inv_69.jpg,350,500,invoice_no,51,68,104,90
inv_69.jpg,350,500,invoice_no,49,124,100,143
inv_69.jpg,350,500,invoice_no,51,170,89,185
inv_69.jpg,350,500,invoice_no,49,214,103,229
inv_69.jpg,350,500,invoice_no,47,248,98,268
inv_69.jpg,350,500,invoice_no,46,296,108,314
inv_69.jpg,350,500,invoice_date,44,339,109,354
inv_69.jpg,350,500,invoice_date,38,372,71,390
inv_69.jpg,350,500,invoice_date,45,415,77,433
inv_69.jpg,350,500,invoice_date,36,457,86,471
inv_158.jpg,350,500,invoice_no,44,18,111,40
inv_158.jpg,350,500,invoice_no,43,65,104,93
inv_158.jpg,350,500,invoice_no,42,120,94,142
inv_158.jpg,350,500,invoice_no,45,168,94,187
inv_158.jpg,350,500,invoice_no,44,207,92,228
inv_158.jpg,350,500,invoice_no,46,242,86,263
inv_158.jpg,350,500,invoice_no,39,293,94,308
inv_158.jpg,350,500,invoice_date,44,335,99,355
inv_158.jpg,350,500,invoice_date,28,368,66,389
inv_158.jpg,350,500,invoice_date,26,410,71,433
inv_158.jpg,350,500,invoice_date,31,453,84,473
inv_224.jpg,350,500,invoice_no,91,24,251,51
inv_224.jpg,350,500,invoice_no,90,62,213,102
inv_224.jpg,350,500,invoice_no,99,122,204,155
inv_224.jpg,350,500,invoice_no,97,173,181,198
inv_224.jpg,350,500,invoice_no,97,212,223,245
inv_224.jpg,350,500,invoice_no,96,249,203,280
inv_224.jpg,350,500,invoice_no,95,295,239,323
inv_224.jpg,350,500,invoice_date,94,343,223,367
inv_224.jpg,350,500,invoice_date,79,373,141,404
inv_224.jpg,350,500,invoice_date,93,415,160,445
inv_224.jpg,350,500,invoice_date,86,454,203,495
inv_19.jpg,350,500,invoice_no,49,126,175,159
inv_19.jpg,350,500,invoice_date,51,247,157,275
7.jpg,350,500,invoice_no,186,95,342,114
7.jpg,350,500,invoice_date,173,154,305,168
inv_50.jpg,350,500,invoice_no,96,26,311,59
inv_50.jpg,350,500,invoice_no,94,75,246,103
inv_50.jpg,350,500,invoice_no,98,125,228,161
inv_50.jpg,350,500,invoice_no,101,172,206,205
inv_50.jpg,350,500,invoice_no,101,218,246,248
inv_50.jpg,350,500,invoice_no,98,255,222,281
inv_50.jpg,350,500,invoice_no,89,300,267,328
inv_50.jpg,350,500,invoice_date,91,344,270,375
